OldData,Expt,OchStrain,Light,Rice,Rep,Plating.Date,CountDate,AreaCounted,DilutionFactor,CFUs,CountDate,AreaCounted,CFUs,Notes,CFUpmL
,3,584,50,Rice,B,3 Dec,9 Dec,whole,"10,000",245,,,,,24500000
,3,584,50,Rice,C,3 Dec,9 Dec,whole,"10,000",239,,,,,23900000
,3,1393,50,Rice,A,3 Dec,9 Dec,whole,"10,000",511,,,,,51100000
,3,1393,50,Rice,B,3 Dec,9 Dec,whole,"10,000",369,,,,,36900000
,3,1393,50,Rice,C,3 Dec,9 Dec,whole,"10,000",219,,,,,21900000
,3,584,100,Rice,A,3 Dec,9 Dec,whole,"10,000",118,,,,,11800000
,3,584,100,Rice,B,3 Dec,9 Dec,whole,"10,000",156,,,,,15600000
,3,584,100,Rice,C,3 Dec,9 Dec,whole,"10,000",126,,,,,12600000
,3,584,150,Rice,A,3 Dec,9 Dec,whole,"10,000",160,,,,,16000000
,3,584,150,Rice,B,3 Dec,9 Dec,whole,"10,000",132,,,,,13200000
,3,584,150,Rice,C,3 Dec,9 Dec,whole,"10,000",137,,,,,13700000
,3,584,75,Rice,A,3 Dec,9 Dec,whole,"10,000",211,,,,,21100000
,3,584,75,Rice,B,3 Dec,9 Dec,whole,"10,000",238,,,,,23800000
,3,584,75,Rice,C,3 Dec,9 Dec,whole,"10,000",262,,,,,26200000
,3,1393,75,Rice,A,3 Dec,9 Dec,whole,"10,000",434,,,,,43400000
,3,1393,75,Rice,B,3 Dec,9 Dec,whole,"10,000",395,,,,,39500000
,3,1393,75,Rice,C,3 Dec,9 Dec,whole,"10,000",334,,,,,33400000
,3,584,15,Rice,A,6 Dec,15 Dec,whole,"10,000",138,,,,,13800000
,3,584,15,Rice,B,6 Dec,15 Dec,whole,"10,000",122,,,,,12200000
,3,584,15,Rice,C,6 Dec,15 Dec,whole,"10,000",103,,,,,10300000
,3,1393,15,Rice,A,6 Dec,15 Dec,whole,"10,000",386,,,,,38600000
,3,1393,15,Rice,B,6 Dec,15 Dec,whole,"10,000",228,,,,,22800000
,3,1393,15,Rice,C,6 Dec,15 Dec,whole,"10,000",244,,,,,24400000
,3,1393,25,Rice,A,6 Dec,15 Dec,whole,"10,000",283,,,,,28300000
,3,1393,25,Rice,B,6 Dec,15 Dec,whole,"10,000",185,,,,,18500000
,3,1393,25,Rice,C,6 Dec,15 Dec,whole,"10,000",178,,,,,17800000
,3,584,25,Rice,A,6 Dec,15 Dec,whole,"10,000",186,,,,,18600000
,3,584,25,Rice,B,6 Dec,15 Dec,whole,"10,000",110,,,,,11000000
,3,584,25,Rice,C,6 Dec,15 Dec,whole,"10,000",54,,,,,5400000
,3,1393,100,Xenic,A,7 Dec,15 Dec,whole,"1,000",31,,,,,310000
,3,1393,100,Xenic,B,7 Dec,15 Dec,whole,"1,000",34,,,,,340000
,3,1393,100,Xenic,C,7 Dec,15 Dec,whole,"1,000",46,,,,,460000
,3,584,75,Xenic,A,7 Dec,15 Dec,whole,"1,000",45,,,,,450000
,3,584,75,Xenic,B,7 Dec,15 Dec,whole,"1,000",34,,,,,340000
,3,584,75,Xenic,C,7 Dec,15 Dec,whole,"1,000",62,,,,,620000
,3,584,50,Xenic,A,8 Dec,16 Dec,whole,"1,000",62,,,,,620000
,3,584,50,Xenic,B,8 Dec,16 Dec,whole,"1,000",86,,,,,860000
,3,584,50,Xenic,C,8 Dec,16 Dec,whole,"1,000",73,,,,,730000
,3,1393,75,Xenic,A,8 Dec,16 Dec,whole,"1,000",53,,,,,530000
,3,1393,75,Xenic,B,8 Dec,16 Dec,whole,"1,000",50,,,,,500000
,3,1393,75,Xenic,C,8 Dec,16 Dec,whole,"1,000",57,,,,,570000
,3,584,100,Xenic,A,8 Dec,16 Dec,whole,"1,000",66,,,,,660000
,3,584,100,Xenic,B,8 Dec,16 Dec,whole,"1,000",67,,,,,670000
,3,584,100,Xenic,C,8 Dec,16 Dec,whole,"1,000",141,,,,,1410000
,3,584,150,Xenic,A,8 Dec,16 Dec,whole,"1,000",47,,,,,470000
,3,584,150,Xenic,B,8 Dec,16 Dec,whole,"1,000",70,,,,,700000
,3,584,150,Xenic,C,8 Dec,16 Dec,whole,"1,000",40,,,,,400000
,3,1393,100,Xenic,A,9 Dec,16 Dec,whole,"1,000",65,,,,,650000
,3,1393,100,Xenic,B,9 Dec,16 Dec,whole,"1,000",60,,,,,600000
,3,1393,100,Xenic,C,9 Dec,16 Dec,whole,"1,000",63,,,,,630000
,3,584,100,Xenic,A,9 Dec,16 Dec,whole,"1,000",33,,,,,330000
,3,584,100,Xenic,B,9 Dec,16 Dec,whole,"1,000",49,,,,,490000
,3,584,100,Xenic,C,9 Dec,16 Dec,whole,"1,000",51,,,,,510000
,3,584,25,Xenic,A,9 Dec,16 Dec,whole,"1,000",91,,,,,910000
,3,584,25,Xenic,B,9 Dec,16 Dec,whole,"1,000",189,,,,,1890000
,3,584,25,Xenic,C,9 Dec,16 Dec,whole,"1,000",108,,,,,1080000
,3,1393,50,Xenic,A,9 Dec,16 Dec,whole,"1,000",22,,,,,220000
,3,1393,50,Xenic,B,9 Dec,16 Dec,whole,"1,000",65,,,,,650000
,3,1393,50,Xenic,C,9 Dec,16 Dec,whole,"1,000",48,,,,,480000
,3,1393,15,Xenic,A,10 Dec,16 Dec,whole,"1,000",69,,,,,690000
,3,1393,15,Xenic,B,10 Dec,16 Dec,whole,"1,000",72,,,,,720000
,3,1393,15,Xenic,C,10 Dec,16 Dec,whole,"1,000",96,,,,,960000
,3,584,15,Xenic,A,10 Dec,16 Dec,whole,"1,000",171,,,,,1710000
,3,584,15,Xenic,B,10 Dec,16 Dec,whole,"1,000",198,,,,,1980000
,3,584,15,Xenic,C,10 Dec,16 Dec,whole,"1,000",182,,,,,1820000
,3,1393,150,Xenic,A,10 Dec,16 Dec,whole,"1,000",36,,,,,360000
,3,1393,150,Xenic,B,10 Dec,16 Dec,whole,"1,000",36,,,,,360000
,3,1393,150,Xenic,C,10 Dec,16 Dec,whole,"1,000",40,,,,,400000
,3,1393,25,Xenic,A,10 Dec,16 Dec,whole,"1,000",36,,,,,360000
,3,1393,25,Xenic,B,10 Dec,16 Dec,whole,"1,000",27,,,,,270000
,3,1393,25,Xenic,C,10 Dec,16 Dec,whole,"1,000",14,,,,,140000
,4,1391,100,Rice,A,20 Jan 2022,27 Jan 2022,whole,"10,000",169,31 Jan 2022,whole,171,,17100000
,4,1391,100,Rice,B,20 Jan 2022,27 Jan 2022,whole,"10,000",252,31 Jan 2022,whole,259,,25900000
,4,1391,100,Rice,C,20 Jan 2022,27 Jan 2022,whole,"10,000",203,31 Jan 2022,whole,230,,23000000
,4,2951,150,Rice,A,20 Jan 2022,27 Jan 2022,whole,"10,000",65,31 Jan 2022,whole,69,,6900000
,4,2951,150,Rice,B,20 Jan 2022,27 Jan 2022,whole,"10,000",137,31 Jan 2022,whole,139,,13900000
,4,2951,150,Rice,C,20 Jan 2022,27 Jan 2022,whole,"10,000",69,31 Jan 2022,whole,71,,7100000
,4,1391,150,Rice,A,19 Jan 2022,27 Jan 2022,whole,"10,000",99,01 Feb 2022,whole,105,,10500000
,4,1391,150,Rice,B,19 Jan 2022,27 Jan 2022,whole,"10,000",106,01 Feb 2022,whole,113,,11300000
